country,sex,age_group,year,population_000
dza,m,youth,2008,3872.698974609375
dza,m,adult,2008,8802.900390625
dza,f,total,2008,12557.5908203125
dza,f,youth,2008,3749.8720703125
dza,f,adult,2008,8807.7177734375
dza,mf,total,2009,25741.970703125
dza,mf,youth,2009,7560.18017578125
dza,mf,adult,2009,18181.7890625
dza,m,total,2009,12923.14453125
dza,m,youth,2009,3838.81298828125
dza,m,adult,2009,9084.33203125
dza,f,total,2009,12818.826171875
dza,f,youth,2009,3721.366943359375
dza,f,adult,2009,9097.4580078125
dza,mf,total,2010,26237.455078125
dza,mf,youth,2010,7467.98583984375
dza,mf,adult,2010,18769.470703125
dza,m,total,2010,13164.96484375
dza,m,youth,2010,3790.780029296875
dza,m,adult,2010,9374.1845703125
dza,f,total,2010,13072.490234375
dza,f,youth,2010,3677.2060546875
dza,f,adult,2010,9395.28515625
dza,mf,total,2011,26658.455078125
dza,mf,youth,2011,7317.47412109375
dza,mf,adult,2011,19340.98046875
dza,m,total,2011,13371.0185546875
dza,m,youth,2011,3712.73193359375
dza,m,adult,2011,9658.287109375
dza,f,total,2011,13287.4365234375
dza,f,youth,2011,3604.741943359375
dza,f,adult,2011,9682.6943359375
dza,mf,total,2012,27098.6953125
dza,mf,youth,2012,7153.548828125
dza,mf,adult,2012,19945.146484375
dza,m,total,2012,13588.439453125
dza,m,youth,2012,3629.35009765625
dza,m,adult,2012,9959.0888671875
dza,f,total,2012,13510.255859375
dza,f,youth,2012,3524.198974609375
dza,f,adult,2012,9986.0576171875
dza,mf,total,2013,27536.1796875
